champion,games,kills per game,deaths per game,assists per game,kda,win %,dmg/min,cs/min,gold/min,avg game time,dmg/gold
Veigar,14,12.071428571428571,7.857142857142857,18.214285714285715,3.8545454545454545,71.42857142857143,1485.3450920245398,3.4049079754601226,709.8811349693251,18.62857142857143,2.092385638743201
Annie,13,10.615384615384615,8.538461538461538,18.46153846153846,3.4054054054054053,84.61538461538461,1385.5042046007368,1.943151018138856,674.273403294183,18.4474358974359,2.054810701166343
Morgana,11,8.363636363636363,6.909090909090909,27.636363636363637,5.2105263157894735,63.63636363636363,1232.1737728701537,1.8715241395986135,649.031998065608,18.79848484848485,1.8984792376070159
Lux,10,9.6,8.3,31.2,4.9156626506024095,60.0,1439.5229722498282,2.4952220778227967,646.129500802691,21.801666666666662,2.2279171133054585
Orianna,10,11.3,7.6,23.0,4.5131578947368425,50.0,1539.1500620090947,2.500206696982224,671.8114923522116,20.158333333333335,2.2910445556983148
Dr. Mundo,7,7.857142857142857,7.142857142857143,22.714285714285715,4.28,71.42857142857143,1310.7392565980379,1.6166919994472846,690.4186817742158,17.23095238095238,1.8984701474614534
Blitzcrank,7,4.714285714285714,8.571428571428571,24.142857142857142,3.3666666666666667,57.142857142857146,812.2896281800391,1.11545988258317,569.2191780821918,24.333333333333336,1.4270243510009593
Xerath,6,14.833333333333334,9.0,22.666666666666668,4.166666666666667,50.0,1819.199449478151,2.43605918109875,658.5892877623581,24.219444444444445,2.76226698988548
Amumu,6,10.166666666666666,8.333333333333334,23.5,4.04,83.33333333333333,990.7188353048226,1.4012738853503186,672.7388535031847,18.316666666666666,1.4726648091541104
Malzahar,6,8.0,8.166666666666666,23.666666666666668,3.877551020408163,83.33333333333333,1577.7639571883137,3.78362742262077,678.5189470639283,19.205555555555552,2.325305673504886
Twisted Fate,6,8.833333333333334,10.0,29.333333333333332,3.816666666666667,66.66666666666667,1528.4885377541768,2.9918404351767904,672.8610283642015,21.447222222222223,2.27162589795117
Tryndamere,6,10.166666666666666,9.0,22.0,3.574074074074074,83.33333333333333,1123.8912294140177,3.462274990425125,659.609345078514,21.75833333333333,1.7038740245261985
Teemo,6,9.833333333333334,10.5,24.0,3.2222222222222223,66.66666666666667,1588.918886344462,1.9742075448957455,616.5312763649512,23.04722222222222,2.5771910481373745
Ezreal,5,10.2,9.8,21.8,3.2653061224489797,0.0,1391.3585951940852,2.4768946395563773,646.7375231053605,21.639999999999997,2.151349729196736
Varus,5,12.8,9.6,17.8,3.1875,60.0,1445.064935064935,2.368421052631579,704.2925495557074,19.506666666666668,2.051796424620043
Malphite,5,9.2,8.8,18.8,3.1818181818181817,60.0,1189.8346270671616,1.0934863314208572,628.9368882888964,19.753333333333334,1.8918187964841109
Vel'Koz,5,5.8,10.4,23.0,2.769230769230769,40.0,1449.185301016419,2.1767005473025804,584.0969507427678,21.316666666666666,2.4810697935908763
Zilean,4,8.0,9.75,27.0,3.58974358974359,25.0,1438.6474770244492,3.0171666377666027,613.4628056181723,24.02916666666667,2.345125839495285
Nasus,4,9.0,8.75,22.0,3.5428571428571427,75.0,1387.961610682245,3.7554767369079913,655.6436469851868,19.97083333333333,2.116945107398568
Gragas,4,4.75,8.25,19.0,2.878787878787879,50.0,1239.265463917526,1.6881443298969074,573.9046391752578,19.4,2.159357808465252
Lissandra,4,12.25,12.25,19.75,2.6122448979591835,0.0,1530.9101123595506,2.764044943820225,701.3370786516854,22.25,2.182844967077332
Syndra,4,9.5,11.5,18.5,2.4347826086956523,25.0,1472.776259273721,3.643108160874658,648.8012495119093,21.34166666666667,2.269996027877081
Karma,3,7.0,8.666666666666666,29.333333333333332,4.1923076923076925,66.66666666666667,1169.4076840981857,1.360725720384205,622.3959445037353,20.822222222222223,1.8788806296458243
Garen,3,14.333333333333334,8.0,19.0,4.166666666666667,33.333333333333336,1473.1550068587105,1.289437585733882,618.1207133058984,24.3,2.3832804420674196
Cho'Gath,3,9.0,7.333333333333333,19.666666666666668,3.909090909090909,66.66666666666667,1076.1587485515643,2.242178447276941,644.9130938586327,19.177777777777777,1.6686880120741698
Caitlyn,3,12.666666666666666,8.333333333333334,14.333333333333334,3.24,33.333333333333336,1232.1859937624042,2.925999432945846,716.376523958038,19.594444444444445,1.7200256465056636
Draven,3,6.0,9.666666666666666,13.0,1.9655172413793103,0.0,982.3005032350827,2.717469446441409,685.5355859094177,15.455555555555556,1.4328949852136161
Sona,2,3.5,8.5,34.5,4.470588235294118,100.0,754.9577464788732,0.4788732394366197,589.6901408450705,17.75,1.2802617751027037
Miss Fortune,2,11.5,9.0,28.0,4.388888888888889,100.0,1527.8907299596954,2.445141065830721,759.1759964173757,18.608333333333334,2.012564592624053
Ashe,2,11.5,11.5,31.5,3.739130434782609,50.0,1307.4438502673797,1.9893048128342246,676.0641711229947,23.375,1.9339049547554261
Brand,2,11.5,11.0,27.0,3.5,50.0,1999.5323741007194,2.4820143884892083,677.8705035971223,23.166666666666668,2.949726184411615
Singed,2,6.0,12.0,35.5,3.4583333333333335,100.0,1198.3375959079283,2.2762148337595907,646.8797953964195,19.55,1.8524888309018306
Corki,2,12.5,8.0,14.5,3.375,50.0,1827.257142857143,3.355102040816327,733.4693877551022,20.416666666666664,2.491252086811352
Ziggs,2,10.0,12.0,30.5,3.375,50.0,1686.9096774193547,2.8064516129032255,659.2258064516128,25.833333333333336,2.558925425719319
