champion,games,kills per game,deaths per game,assists per game,kda,win %,dmg/min,cs/min,gold/min,avg game time,dmg/gold
Wukong,13,12.615384615384615,10.692307692307692,18.0,2.8633093525179856,61.53846153846154,1695.1571543702835,3.1079199941387645,738.9947981537108,17.49871794871795,2.2938688588951215
Azir,9,9.555555555555555,11.555555555555555,22.22222222222222,2.75,55.55555555555556,1538.7973095070777,3.674329886557575,706.2001807047486,18.446296296296296,2.1789817555292093
Yone,8,13.625,15.125,19.75,2.206611570247934,62.5,1660.987481221833,3.7496244366549827,738.6820230345519,20.802083333333332,2.2485825151103485
Akali,7,19.571428571428573,12.285714285714286,18.571428571428573,3.104651162790698,57.142857142857146,1816.939163498099,2.4588086185044364,738.5234474017744,22.54285714285714,2.460232196946945
Sett,7,10.571428571428571,11.0,18.714285714285715,2.6623376623376624,71.42857142857143,1486.9388904533932,2.6189805688538437,725.6772740073218,16.90952380952381,2.0490360435875945
Zoe,6,10.333333333333334,10.833333333333334,17.833333333333332,2.6,33.333333333333336,1498.72396212673,2.3073561544064094,683.7465404224326,19.069444444444443,2.1919291338582676
Draven,6,10.833333333333334,11.5,17.166666666666668,2.4347826086956523,66.66666666666667,1712.299168975069,3.6103416435826405,744.2289935364727,18.05,2.3007692307692307
Irelia,6,10.833333333333334,14.833333333333334,16.666666666666668,1.853932584269663,50.0,1388.1220657276995,3.7010954616588414,669.3740219092331,21.3,2.0737614850489794
Aatrox,5,12.6,9.2,21.6,3.717391304347826,80.0,1813.5293023255815,3.337674418604651,743.899534883721,17.916666666666664,2.4378685794030703
Aphelios,5,10.2,10.4,24.0,3.2884615384615383,60.0,1712.6239215022838,4.994078836068347,739.1947217052953,19.703333333333333,2.316877909451684
Syndra,5,10.6,9.8,19.8,3.1020408163265305,60.0,1507.8288431061806,3.940834653988378,710.5229793977812,18.93,2.122139447740554
Qiyana,5,20.0,11.8,16.0,3.0508474576271185,40.0,2124.201927789577,2.832870446005555,771.4229701029245,20.40333333333333,2.7536150855167856
Sylas,5,13.4,12.0,19.2,2.716666666666667,100.0,1586.8631279957392,2.2900763358778624,702.5847683294869,18.776666666666667,2.258607358893892
