champion,games,kills per game,deaths per game,assists per game,kda,win %,dmg/min,cs/min,gold/min,avg game time,dmg/gold
Garen,33,8.606060606060606,8.969696969696969,17.0,2.85472972972973,51.515151515151516,922.0381593714927,1.8885147774036664,649.0400299289188,20.25,1.4206183237611276
Ashe,30,6.1,7.633333333333334,27.866666666666667,4.449781659388647,60.0,1119.3005982486056,1.980289587006156,643.1415277015116,19.222777777777775,1.7403643677758036
Pantheon,25,8.96,8.84,17.52,2.995475113122172,60.0,879.0835709133376,1.24274379143338,636.5465599560333,19.40866666666667,1.3810200639118315
Jinx,22,7.454545454545454,7.681818181818182,17.90909090909091,3.301775147928994,40.90909090909091,841.3465527254627,3.039077408114163,655.5795237700158,18.262121212121208,1.2833630737689359
Sett,22,8.227272727272727,10.454545454545455,21.0,2.7956521739130435,50.0,957.6517587450062,1.8688492643476562,637.0106206762155,23.325000000000003,1.5033528918692372
Miss Fortune,19,11.789473684210526,9.578947368421053,22.526315789473685,3.5824175824175826,47.36842105263158,1200.872677945665,3.4319303666302425,709.6635140736275,23.279824561403508,1.6921719295562863
Sivir,17,7.352941176470588,8.823529411764707,19.764705882352942,3.0733333333333333,47.05882352941177,1045.1453043744266,3.1569287243805446,650.7219333129398,19.22941176470588,1.6061319756864625
Maokai,16,3.5,9.6875,24.1875,2.858064516129032,62.5,703.84900990099,0.9931930693069305,582.7258663366335,20.200000000000003,1.2078561302346327
Renekton,16,5.875,8.375,16.25,2.6417910447761193,62.5,720.3758731566692,1.633218760394722,606.107107218095,18.789583333333336,1.18852899855117
Ezreal,15,8.333333333333334,7.6,18.2,3.491228070175439,60.0,1151.032024566791,2.901952182496162,673.4536082474228,20.262222222222217,1.7091482033368346
Qiyana,15,7.6,9.0,15.066666666666666,2.5185185185185186,73.33333333333333,779.4503390093681,1.9719476217587082,605.1767506857824,21.467777777777776,1.2879713870800555
Nidalee,14,8.071428571428571,7.357142857142857,15.857142857142858,3.2524271844660193,50.0,1034.113897904987,0.8639716730598997,630.0371791088818,20.172619047619044,1.6413537679913226
Quinn,14,7.928571428571429,10.285714285714286,15.714285714285714,2.298611111111111,28.571428571428573,797.3610945865556,1.8560380725758476,641.7180249851278,20.011904761904763,1.242541215209024
Jax,14,5.571428571428571,9.642857142857142,15.142857142857142,2.1481481481481484,64.28571428571429,701.5542980977606,1.6253310859619552,609.3149530459908,19.776190476190475,1.1513820473150405
Varus,13,7.076923076923077,9.615384615384615,20.923076923076923,2.912,53.84615384615385,984.5548802288166,2.0808008580622097,597.3757597425814,21.515384615384615,1.6481332966256899
Caitlyn,12,8.916666666666666,7.416666666666667,18.5,3.696629213483146,33.333333333333336,1001.1486344169066,3.142596363125746,670.3545601348031,19.781944444444445,1.4934613620224846
Jhin,12,7.5,8.166666666666666,17.916666666666668,3.1122448979591835,41.666666666666664,811.2109605185622,2.3821449616971124,656.0002946375957,18.855555555555558,1.236601518550707
Akali,12,9.833333333333334,8.166666666666666,11.666666666666666,2.63265306122449,58.333333333333336,884.5482177397072,1.4175186515612048,635.3882287924841,20.105555555555554,1.392138188365145
Lulu,11,3.4545454545454546,9.090909090909092,36.63636363636363,4.41,72.72727272727273,323.3085970316437,0.9031083730047603,610.3080369644356,21.642424242424248,0.5297465827907553
Volibear,11,6.181818181818182,9.181818181818182,21.90909090909091,3.0594059405940595,81.81818181818181,765.6889568207871,1.2930836836071837,640.2827665265571,19.825757575757578,1.1958606366598632
Kayle,10,8.9,6.9,22.9,4.608695652173913,80.0,966.7527770601913,2.9708085765951955,692.8338930508913,19.354999999999997,1.3953601097704664
Thresh,10,3.3,7.9,27.3,3.8734177215189876,70.0,512.2935096377688,1.1230095912096096,613.8113418381599,17.898333333333333,0.8346106934153756
Malphite,10,7.1,9.5,21.5,3.0105263157894737,60.0,921.2938496583143,1.3394077448747153,604.8337129840546,21.95,1.5232184150465875
Nautilus,10,4.2,11.1,26.3,2.7477477477477477,20.0,688.688144535934,1.256695179470781,601.4101846670397,20.848333333333336,1.145122184648759
Ekko,10,9.5,11.6,16.0,2.1982758620689653,60.0,787.7576177285318,1.8365650969529086,604.5083102493076,24.066666666666666,1.3031377805272022
Aatrox,10,5.0,9.4,11.1,1.7127659574468086,30.0,557.2390627560217,1.1699164345403898,554.215959364247,20.343333333333334,1.005454738970784
Mordekaiser,10,5.8,10.5,10.3,1.5333333333333334,40.0,617.227478403949,1.3673385438091321,586.3661044837515,20.258333333333333,1.0526315789473684
Soraka,9,1.4444444444444444,7.555555555555555,32.666666666666664,4.514705882352941,44.44444444444444,153.15681233933162,0.2879177377892031,547.4858611825193,21.61111111111111,0.2797456942696693
Riven,9,4.777777777777778,10.444444444444445,13.0,1.702127659574468,22.22222222222222,556.5829989735934,1.1141177568349352,587.3192124661753,19.8462962962963,0.9476669367522997
Lux,8,6.375,9.0,26.125,3.611111111111111,62.5,891.339387060159,1.5777525539160047,603.8649262202043,22.025,1.476057555850039
Lee Sin,8,11.375,9.0,18.25,3.2916666666666665,50.0,1122.695432388518,1.4298609857374978,652.0328579165915,23.079166666666666,1.721838736740678
Tristana,8,8.625,8.375,18.0,3.1791044776119404,62.5,1007.8090216754539,3.2220269478617456,646.9595782073814,21.337500000000002,1.5577619616791627
Morgana,8,4.625,10.25,25.875,2.975609756097561,75.0,779.4988565178483,1.2230287362036392,578.8923138112757,20.952083333333334,1.3465351636573502
Leona,8,3.125,9.375,22.75,2.76,62.5,598.0177335114782,0.9692700109316167,605.2107372768128,17.152083333333334,0.9881148774760672
Corki,8,6.25,8.625,14.0,2.347826086956522,25.0,857.58550396376,2.419026047565119,623.5379388448472,18.395833333333332,1.3753541693910465
Lucian,8,6.375,10.75,15.25,2.011627906976744,75.0,712.3115708945492,2.5871511779535767,588.4830044336259,23.964583333333337,1.2104199535551576
Jayce,6,12.5,8.833333333333334,23.333333333333332,4.056603773584905,50.0,1609.5341995587153,2.154939936258887,686.8889433684726,22.66111111111111,2.3432233334047154
Pyke,6,8.666666666666666,9.5,15.5,2.543859649122807,33.333333333333336,648.0566801619433,0.5506072874493927,706.3967611336033,20.583333333333332,0.917411737734984
Urgot,6,7.833333333333333,9.333333333333334,15.166666666666666,2.4642857142857144,33.333333333333336,935.177361498605,4.129135113591072,696.396970904743,20.908333333333335,1.3428797088012088
