champion,games,kills per game,deaths per game,assists per game,kda,win %,dmg/min,cs/min,gold/min,avg game time,dmg/gold
Fiddlesticks,9,8.666666666666666,11.11111111111111,20.333333333333332,2.61,66.66666666666667,1393.033987044103,1.9966279172952344,635.1885704144112,20.86851851851852,2.1931030436131067
Miss Fortune,7,14.857142857142858,13.0,21.571428571428573,2.802197802197802,57.142857142857146,1571.943439658007,3.360736599802696,752.8115751397567,21.72142857142857,2.0880967981479053
Seraphine,6,4.166666666666667,7.666666666666667,34.166666666666664,5.0,100.0,869.2150063051703,1.7496847414880201,660.4255989911727,17.622222222222224,1.3161437225221613
Sona,6,5.5,12.0,42.333333333333336,3.986111111111111,66.66666666666667,738.1141266527488,0.709812108559499,597.4251913709116,23.95,1.235492137449039
Zyra,6,10.333333333333334,12.333333333333334,24.166666666666668,2.7972972972972974,50.0,1356.493625969247,2.4917860428440006,657.9182546983835,21.13611111111111,2.0617966081380716
Ekko,5,10.0,11.6,21.2,2.689655172413793,40.0,1163.9775735866688,1.4296838498676219,656.1407880392462,21.403333333333332,1.7739753339599533
Jhin,4,12.75,8.5,18.25,3.6470588235294117,50.0,1268.1903068030235,2.6411738550466874,698.3903957314362,18.741666666666667,1.8158759263503705
Kennen,4,10.5,9.5,22.0,3.4210526315789473,25.0,1455.6410256410256,1.8333333333333333,651.4102564102565,19.5,2.2345994882897067
Malzahar,4,10.75,8.5,16.0,3.1470588235294117,75.0,1279.7972483707458,5.155684286748733,766.2273714699494,17.2625,1.670257806002873
Viktor,4,7.75,10.25,23.25,3.024390243902439,75.0,1338.6624203821657,2.1528662420382165,685.1847133757962,19.625,1.9537248777585663
Twitch,4,18.25,14.5,20.25,2.6551724137931036,50.0,1802.822299651568,3.2404181184668994,684.2223630028509,26.30833333333333,2.6348485479771675
Jinx,4,7.25,12.25,21.25,2.326530612244898,50.0,1075.3342590755803,2.7018448720491968,625.2687958738346,21.004166666666666,1.7197951763653323
Malphite,4,13.75,14.25,16.25,2.1052631578947367,25.0,1227.7647526326248,1.6689847009735745,672.0882177627658,20.97083333333333,1.8267910672792096
Karma,3,8.0,8.0,30.0,4.75,66.66666666666667,1126.8141861170052,1.5822976659593817,671.7672021824795,18.32777777777778,1.6773879142300194
Kog'Maw,3,13.0,9.333333333333334,28.333333333333332,4.428571428571429,66.66666666666667,1909.805157593123,3.2320916905444124,735.3008595988538,19.38888888888889,2.597311199438859
Jarvan IV,3,15.333333333333334,11.0,29.666666666666668,4.090909090909091,66.66666666666667,1315.3506891271056,1.5252679938744258,794.4073506891272,18.13888888888889,1.6557634921002105
Lulu,3,4.333333333333333,9.333333333333334,32.0,3.892857142857143,66.66666666666667,635.5050000000001,1.1700000000000002,580.8600000000001,22.222222222222218,1.0940760252040078
Senna,3,6.666666666666667,7.0,20.0,3.8095238095238093,33.333333333333336,1177.7812870114487,2.3213580734307144,768.7011448874852,14.072222222222223,1.5321705904104523
Cho'Gath,3,8.666666666666666,8.0,20.666666666666668,3.6666666666666665,0.0,1133.50471293916,2.7763496143958863,639.7600685518422,19.450000000000003,1.7717653361907313
Annie,3,8.666666666666666,9.0,22.666666666666668,3.4814814814814814,66.66666666666667,1190.7764558547276,2.1227301189730743,674.4646211646838,17.744444444444444,1.7655135918003566
Ezreal,3,11.0,11.0,23.0,3.090909090909091,0.0,2005.6574434026982,3.210610564829636,669.8376400640292,24.294444444444448,2.9942441622285947
Xayah,3,12.333333333333334,9.0,14.666666666666666,3.0,33.333333333333336,1162.0891364902507,4.902506963788301,690.766016713092,23.933333333333334,1.6823194951307539
Ashe,3,9.333333333333334,15.666666666666666,37.0,2.9574468085106385,66.66666666666667,1445.336426914153,2.7726218097447797,633.5034802784222,28.733333333333334,2.281497216525051
Maokai,3,4.333333333333333,10.333333333333334,24.333333333333332,2.774193548387097,100.0,985.5811545431011,1.3202174475796011,572.6171369402018,21.461111111111112,1.721186969376407
Neeko,3,8.333333333333334,12.333333333333334,23.333333333333332,2.5675675675675675,66.66666666666667,1323.700120918984,2.6408706166868194,625.7992744860943,22.972222222222225,2.11521517343721
Lee Sin,3,13.666666666666666,14.0,22.0,2.5476190476190474,0.0,1418.2366239638284,2.094951017332329,693.6850037678976,22.116666666666664,2.0444965888845434
Swain,3,9.0,10.333333333333334,17.0,2.5161290322580645,33.333333333333336,1256.1025926958462,2.1745190967382215,636.3981042654028,19.927777777777777,1.973768595910214
Teemo,3,6.0,13.0,25.0,2.3846153846153846,66.66666666666667,1284.5370589628228,2.628463177835662,634.0279422211698,23.46111111111111,2.0259943977591037
Kindred,3,13.0,12.333333333333334,14.666666666666666,2.2432432432432434,33.333333333333336,1184.745475113122,2.3585972850678734,710.5825791855203,19.644444444444446,1.6672875325357595
Akali,3,20.333333333333332,15.666666666666666,11.666666666666666,2.0425531914893615,33.333333333333336,1542.7885548011639,1.9932104752667312,736.4112512124151,22.91111111111111,2.095009483167378
Cassiopeia,3,8.666666666666666,12.0,15.333333333333334,2.0,66.66666666666667,973.8126463700236,4.131147540983607,638.2903981264637,23.722222222222218,1.5256576774903687
Yuumi,2,4.5,5.0,28.5,6.6,50.0,519.9229499174463,0.3632361034672537,609.7083104017612,15.141666666666666,0.8527404679376083
Taric,2,4.5,8.5,37.0,4.882352941176471,50.0,740.0923206042803,1.1330255979857322,637.163239613932,19.858333333333334,1.1615427171421797
Zilean,2,7.5,9.0,34.0,4.611111111111111,100.0,1108.1632653061224,2.5364431486880465,634.9416909620991,22.866666666666667,1.7452992630346442
Janna,2,4.5,7.5,25.5,4.0,50.0,737.6520509193776,1.1315417256011315,606.7043847241866,17.675,1.2158343824311093
Mordekaiser,2,14.0,11.0,26.5,3.6818181818181817,50.0,1693.4816941852116,2.0890165111270638,649.6410624551328,23.21666666666667,2.606795955577656
Nami,2,3.0,10.5,35.0,3.619047619047619,100.0,733.0786516853933,0.651685393258427,593.8651685393259,22.25,1.2344193438528777
Xin Zhao,2,11.5,9.0,19.0,3.388888888888889,100.0,1186.552734375,2.2265625,759.228515625,17.066666666666666,1.5628400540227667
Morgana,2,5.0,10.5,29.0,3.238095238095238,50.0,999.4311045437754,1.3742149981529368,585.4155892131511,22.558333333333334,1.7072164167802515
