champion,games,kills per game,deaths per game,assists per game,kda,win %,dmg/min,cs/min,gold/min,avg game time,dmg/gold
Vayne,25,16.4,10.04,15.72,3.199203187250996,64.0,1753.8181437689652,3.588992361619755,756.7437480380873,19.113999999999997,2.3175852437709135
Twitch,21,17.238095238095237,10.80952380952381,21.238095238095237,3.5594713656387666,61.904761904761905,2060.1382747809307,3.424712597475681,771.7879250743628,19.744444444444447,2.669306175763807
Lucian,21,15.952380952380953,11.523809523809524,17.61904761904762,2.9132231404958677,57.142857142857146,1926.3097072419105,4.49537750385208,757.7149460708782,20.603174603174605,2.5422617268284946
Ezreal,19,17.473684210526315,9.736842105263158,22.36842105263158,4.091891891891892,63.1578947368421,2337.6652055247705,3.50591348937226,751.4490116615664,21.212280701754388,3.110876678586405
Jhin,18,16.055555555555557,10.722222222222221,20.055555555555557,3.3678756476683938,27.77777777777778,1759.9263384836509,3.4683794466403164,762.695831836148,20.614814814814814,2.307507482041334
Kassadin,17,18.823529411764707,10.941176470588236,16.352941176470587,3.21505376344086,64.70588235294117,2060.265338378275,2.2702236697159823,749.7514248766703,20.469607843137254,2.747931207622815
Fizz,17,16.176470588235293,12.529411764705882,15.705882352941176,2.544600938967136,35.294117647058826,1531.4178377626274,1.9479615973285103,705.4320300542648,21.138235294117642,2.1708935411464436
LeBlanc,15,18.2,10.2,18.466666666666665,3.5947712418300655,53.333333333333336,1832.3787058382034,1.5504208438320917,727.5172894440574,20.72555555555555,2.5186737585830317
Zed,15,16.333333333333332,9.933333333333334,14.266666666666667,3.0805369127516777,53.333333333333336,1629.0913695941238,2.5112391565883616,741.355030709808,17.547777777777778,2.19745102158996
Kog'Maw,14,14.642857142857142,9.642857142857142,20.928571428571427,3.688888888888889,78.57142857142857,2268.7426035502954,3.8091715976331355,762.7995562130177,19.314285714285717,2.974231677340845
Samira,13,18.153846153846153,10.076923076923077,17.923076923076923,3.5801526717557253,76.92307692307692,2066.518834790992,5.007919564768266,846.7929205977549,18.616666666666667,2.4404063668036184
Corki,13,15.307692307692308,11.538461538461538,19.307692307692307,3.0,53.84615384615385,2088.1501207654674,3.5820895522388057,747.97671394067,20.701282051282053,2.7917314561360804
Ashe,12,15.333333333333334,12.333333333333334,31.333333333333332,3.7837837837837838,58.333333333333336,1929.8561639607383,3.937280079017223,772.3217482560651,22.498611111111114,2.498772264692059
Draven,12,11.25,11.166666666666666,19.0,2.708955223880597,66.66666666666667,1722.7980702963475,3.9283252929014476,729.093039283253,20.152777777777775,2.3629330928601
Xayah,11,15.545454545454545,11.454545454545455,22.454545454545453,3.3174603174603177,27.272727272727273,2196.166271807021,5.194917079474478,780.8270514753392,21.104545454545455,2.812615505133255
Master Yi,11,16.09090909090909,12.181818181818182,13.0,2.388059701492537,18.181818181818183,1588.1563232292692,2.072719026381435,726.7578804142415,20.043939393939393,2.1852619228897017
Twisted Fate,10,8.6,9.8,28.6,3.795918367346939,90.0,1435.3829045889245,2.6243605901104607,651.7933130699089,22.481666666666662,2.2022056314575456
Karthus,10,15.4,15.8,25.7,2.6012658227848102,50.0,2527.284298719085,3.2627084508176916,739.8662692338678,20.68833333333333,3.4158663583029543
Jinx,9,15.0,8.0,24.666666666666668,4.958333333333333,88.88888888888889,1882.263696568332,4.966887417218542,810.3311258278145,18.45555555555556,2.322832773633689
Varus,9,18.11111111111111,10.777777777777779,17.88888888888889,3.3402061855670104,55.55555555555556,1895.7335800185015,3.1803885291396856,778.4569842738206,20.01851851851852,2.4352451301942217
