champion,games,kills per game,deaths per game,assists per game,kda,win %,dmg/min,cs/min,gold/min,avg game time,dmg/gold
Kha'Zix,15,19.266666666666666,11.4,13.066666666666666,2.8362573099415203,46.666666666666664,1380.5104477611937,1.0298507462686566,705.9731343283581,22.333333333333336,1.9554716470543465
Teemo,14,11.071428571428571,11.214285714285714,23.785714285714285,3.1082802547770703,64.28571428571429,1504.212385807298,1.8714985110785847,659.5396961590874,23.586904761904766,2.280700304420293
Twisted Fate,13,11.384615384615385,9.076923076923077,23.692307692307693,3.864406779661017,84.61538461538461,1449.9988632488348,2.1075366602250765,685.5496191883597,22.556410256410256,2.1150895904012414
Katarina,12,9.333333333333334,8.5,15.75,2.950980392156863,58.333333333333336,1086.0750748445537,1.2573885008060184,671.0723881169879,18.093055555555555,1.6184171694085834
LeBlanc,10,18.4,9.1,14.0,3.5604395604395602,70.0,1460.7775551102204,1.159118236472946,705.2681362725451,20.791666666666664,2.071237136602631
Morgana,9,8.666666666666666,5.444444444444445,30.333333333333332,7.163265306122449,77.77777777777777,1168.7718293730318,1.271113655883195,667.3003149155453,19.405555555555555,1.7514929983525536
Nidalee,9,14.333333333333334,5.777777777777778,18.11111111111111,5.615384615384615,55.55555555555556,1499.0930828351838,0.7378309137489327,678.3176771989754,21.68518518518518,2.210016240510632
Akali,9,15.666666666666666,8.777777777777779,12.666666666666666,3.2278481012658227,66.66666666666667,1348.9278752436649,1.2252854358117518,693.1495405179617,19.95,1.946084930296091
Gragas,8,10.875,8.375,20.25,3.716417910447761,87.5,1160.928437097892,1.158071859843611,660.4691675739881,21.047916666666662,1.7577329784555624
Viego,8,14.625,9.75,16.375,3.1794871794871793,50.0,1475.6478121664888,1.7097118463180363,743.6990394877268,19.520833333333332,1.984200239364221
Zed,8,13.875,11.0,16.25,2.7386363636363638,25.0,1228.2215020968356,1.3438810522302707,681.0789172703012,21.858333333333334,1.8033468236242423
Lee Sin,7,19.428571428571427,10.285714285714286,22.285714285714285,4.055555555555555,85.71428571428571,1466.0741687979541,1.5984654731457804,757.5831202046037,22.342857142857138,1.9351990952517597
Thresh,7,8.142857142857142,9.571428571428571,30.428571428571427,4.029850746268656,71.42857142857143,842.1860986547084,0.6659192825112107,624.6793721973094,21.23809523809524,1.3481893850477555
Zac,7,8.857142857142858,10.428571428571429,23.428571428571427,3.095890410958904,42.857142857142854,1207.273399926008,1.1764705882352942,651.2245652978172,19.307142857142857,1.8538511356276914
Ekko,7,10.714285714285714,10.428571428571429,17.714285714285715,2.7260273972602738,42.857142857142854,953.1743666169897,1.6020864381520121,649.6870342771982,19.17142857142857,1.4671285039225581
Vel'Koz,6,10.833333333333334,9.0,25.0,3.9814814814814814,50.0,1801.525965379494,1.7097203728362182,676.9214380825566,20.86111111111111,2.6613516192994053
Evelynn,6,18.666666666666668,10.666666666666666,15.666666666666666,3.21875,66.66666666666667,1570.346012832264,1.189275893675527,711.8950504124656,24.244444444444444,2.2058673001342255
Kindred,6,16.166666666666668,11.0,16.333333333333332,2.9545454545454546,50.0,1425.7385141121376,3.6147323123655233,771.8136944690546,21.947222222222223,1.8472573424509273
Ziggs,5,11.8,7.2,27.0,5.388888888888889,80.0,1568.5951940850277,1.4048059149722736,689.4269870609982,21.64,2.2752158292669846
Elise,5,16.8,8.0,22.4,4.9,80.0,1474.1521706247165,1.4975041597337773,711.5958251399184,22.036666666666665,2.071614417263985
Veigar,5,15.0,8.8,18.6,3.8181818181818183,80.0,1421.2254039353704,1.9100943848984164,709.0673492241242,20.836666666666666,2.0043588320495984
Cho'Gath,5,13.0,10.2,22.0,3.4313725490196076,40.0,1341.178029745251,1.6080106022677072,660.9542040936533,22.636666666666667,2.029154246146854
Fizz,5,10.0,7.6,14.0,3.1578947368421053,60.0,967.9649265905383,0.9053833605220228,672.4306688417619,16.346666666666668,1.4395014556040757
