champion,games,kills per game,deaths per game,assists per game,kda,win %,dmg/min,cs/min,gold/min,avg game time,dmg/gold
Morgana,11,4.454545454545454,7.2727272727272725,26.454545454545453,4.25,45.45454545454545,889.8574248738757,2.009212546611099,595.8324193902171,20.722727272727273,1.4934692975997643
Zyra,10,6.2,7.7,22.7,3.7532467532467533,70.0,1154.5568525724166,2.8404669260700386,642.2784262862083,23.130000000000003,1.7975955680907922
Maokai,9,5.111111111111111,8.333333333333334,27.0,3.8533333333333335,55.55555555555556,1165.146562905318,1.9818417639429315,616.9805447470818,21.416666666666664,1.8884656458380633
Blitzcrank,9,3.2222222222222223,7.444444444444445,18.22222222222222,2.8805970149253732,44.44444444444444,637.2283283952977,0.7741565516582242,552.6904329542195,19.375925925925927,1.1529570450300892
Kennen,9,4.555555555555555,9.444444444444445,14.222222222222221,1.988235294117647,44.44444444444444,736.4160696472295,1.9751518998821076,577.832592726943,20.42037037037037,1.2744453651738294
Janna,8,3.0,6.625,29.5,4.90566037735849,62.5,636.0816326530612,1.4065934065934067,586.3359497645212,19.90625,1.0848416047293679
Teemo,8,7.25,6.75,19.125,3.9074074074074074,87.5,1054.452850293021,2.263185935002664,662.6467767714438,19.552083333333332,1.5912743972445464
Lux,7,4.857142857142857,6.857142857142857,27.857142857142858,4.770833333333333,42.857142857142854,773.5071428571429,1.3285714285714285,592.1857142857143,20.0,1.3061901430535787
Brand,7,8.571428571428571,8.428571428571429,19.142857142857142,3.288135593220339,57.142857142857146,1038.187855787476,2.834914611005692,625.292220113852,25.0952380952381,1.6603242810192729
Sivir,7,4.571428571428571,8.571428571428571,21.571428571428573,3.05,85.71428571428571,716.8730119892341,3.1049669684365058,619.3051137753853,19.461904761904766,1.1575441507644897
Karthus,7,9.857142857142858,12.0,26.0,2.988095238095238,71.42857142857143,1640.7267863114478,2.9294393044253706,689.0937465165533,21.35952380952381,2.3809921285826596
Leona,7,3.4285714285714284,11.714285714285714,28.714285714285715,2.7439024390243905,28.571428571428573,715.6049018704506,1.2383672717221046,570.5777204459597,25.84047619047619,1.2541760328656693
Cho'Gath,7,4.857142857142857,7.428571428571429,15.428571428571429,2.730769230769231,57.142857142857146,677.1111932028076,2.0908755079423718,575.6852604359069,19.335714285714285,1.1761829592268895
Nunu & Willump,7,3.142857142857143,9.714285714285714,21.571428571428573,2.5441176470588234,57.142857142857146,612.5034674063801,1.9070735090152566,552.1983356449376,20.599999999999998,1.1092091878382961
Soraka,6,1.5,7.333333333333333,32.0,4.568181818181818,100.0,416.73164218958607,1.0013351134846462,555.4445927903871,20.805555555555557,0.7502668089647813
Malzahar,6,6.166666666666667,7.666666666666667,22.0,3.6739130434782608,83.33333333333333,1071.6253048343135,3.7785109740352887,659.9225362214889,19.36388888888889,1.623865296327212
Jhin,5,7.4,7.4,21.2,3.864864864864865,60.0,934.076453581754,2.4670735624799227,638.0950851268873,20.753333333333334,1.4638515095222993
Annie,5,9.8,10.6,21.0,2.9056603773584904,60.0,984.9244232299123,1.7342879872712806,617.3428798727127,25.140000000000004,1.5954252577319588
Amumu,5,7.0,8.6,17.8,2.883720930232558,60.0,807.3993972699876,1.2019145541570644,635.3447970218047,18.803333333333335,1.2708050826176485
Sion,5,7.6,11.6,23.6,2.689655172413793,60.0,942.800875273523,1.6542669584245078,636.1225382932167,22.849999999999998,1.482105755603561
Ahri,5,5.4,6.6,12.2,2.6666666666666665,40.0,647.7095176966807,2.2776453328443056,609.5286997982761,18.17666666666667,1.0626399017979637
Nasus,5,5.4,9.0,17.6,2.5555555555555554,20.0,684.1622992392223,2.809805579036348,634.9450549450548,19.71666666666667,1.0775141784487579
Vel'Koz,4,5.75,9.25,26.25,3.4594594594594597,50.0,1237.0182109265559,2.2573544126475884,630.7864718831299,20.820833333333333,1.9610728290250123
Miss Fortune,4,11.25,10.25,23.0,3.341463414634146,75.0,1214.4715447154472,2.996515679442509,692.1486643437863,21.525,1.7546397288317617
Lulu,4,2.75,9.5,24.25,2.8421052631578947,50.0,458.54586129753915,0.7046979865771812,561.979865771812,22.35,0.8159471348102147
Thresh,4,1.5,9.25,21.75,2.5135135135135136,25.0,412.1452404317959,0.6005888125613347,541.8135426889107,21.229166666666664,0.7606772587971918
Anivia,4,2.0,7.5,15.25,2.3,50.0,484.2347908745248,1.0266159695817492,570.9268060836503,17.53333333333333,0.8481556404685198
Malphite,4,5.5,12.0,18.75,2.0208333333333335,75.0,747.279138099902,1.1635651322233103,563.0950048971596,21.270833333333336,1.327092465038614
Nami,3,6.0,8.666666666666666,39.0,5.1923076923076925,100.0,672.342264477096,1.4261019878997407,609.217804667243,25.71111111111111,1.1036155859632695
Karma,3,1.6666666666666667,5.666666666666667,20.333333333333332,3.8823529411764706,66.66666666666667,453.478672985782,1.0236966824644549,557.1184834123222,17.583333333333332,0.8139716891248129
Braum,3,2.0,7.333333333333333,25.0,3.6818181818181817,33.333333333333336,394.0377358490566,0.6490566037735849,516.7094339622641,22.083333333333332,0.7625905585417153
Nautilus,3,3.3333333333333335,9.333333333333334,29.0,3.4642857142857144,100.0,590.6316036628317,1.5637473585348676,567.0204273303593,23.661111111111108,1.0416407861064871
Pyke,3,9.666666666666666,11.0,14.666666666666666,2.212121212121212,66.66666666666667,557.9315476190477,0.699404761904762,664.6130952380953,22.399999999999995,0.8394832295911513
Senna,2,6.0,4.0,26.5,8.125,100.0,979.6028368794326,1.702127659574468,713.9574468085107,17.625,1.3720745420590457
Veigar,2,6.0,11.5,29.0,3.0434782608695654,0.0,812.8109696376102,1.704211557296768,549.1870714985308,25.525,1.4800256812669426
Jax,2,3.0,6.0,15.0,3.0,50.0,672.4564183835183,1.2678288431061808,579.8098256735341,15.774999999999999,1.1597878970097852
Zilean,2,8.5,10.5,22.0,2.9047619047619047,50.0,815.7246653919696,2.2485659655831745,647.8393881453155,21.791666666666664,1.2591464494421818
Illaoi,2,6.0,6.5,11.0,2.6153846153846154,100.0,623.4188034188033,1.8803418803418803,646.0683760683761,17.55,0.9649424527053843
Dr. Mundo,2,3.0,9.5,18.0,2.210526315789474,0.0,741.4172535211268,1.9806338028169015,558.5651408450705,18.933333333333334,1.3273604084913242
Alistar,2,0.5,11.0,20.0,1.8636363636363635,0.0,452.4653739612188,1.1357340720221607,549.0304709141274,18.05,0.824117053481332
Darius,2,3.0,10.5,15.5,1.7619047619047619,50.0,642.9168740666998,2.0905923344947737,619.8904927824789,16.741666666666667,1.0371458855270765
Shen,1,3.0,4.0,27.0,7.5,100.0,450.5895953757226,0.20809248554913296,613.8034682080925,14.416666666666666,0.73409424793762
Sona,1,2.0,6.0,40.0,7.0,100.0,312.73972602739724,0.7045009784735812,574.931506849315,17.033333333333335,0.5439599714081487
Taric,1,3.0,8.0,43.0,5.75,0.0,567.6,0.7384615384615384,605.3538461538461,21.666666666666668,0.9376334248246416
Xerath,1,8.0,8.0,23.0,3.875,100.0,956.7950963222416,1.4185639229422065,662.3117338003502,19.033333333333335,1.4446295414881802
Varus,1,10.0,10.0,25.0,3.5,0.0,1033.1202046035805,2.2634271099744248,650.7161125319693,26.066666666666666,1.5876665487560429
Ziggs,1,9.0,12.0,31.0,3.3333333333333335,0.0,1263.3053892215569,2.838323353293413,640.7784431137725,27.833333333333332,1.9715166806840483
Ryze,1,7.0,7.0,16.0,3.2857142857142856,100.0,672.6984126984127,2.9931972789115644,583.718820861678,22.05,1.1524357081811825
Jinx,1,5.0,8.0,18.0,2.875,100.0,786.1655172413792,4.137931034482758,581.1724137931034,24.166666666666668,1.3527233891064436
Nidalee,1,6.0,9.0,18.0,2.6666666666666665,100.0,635.3221957040573,0.5727923627684964,563.9618138424821,20.95,1.1265340668641557
Aatrox,1,4.0,10.0,20.0,2.4,100.0,663.4239130434784,1.956521739130435,612.7173913043479,18.4,1.082756785524215
Tryndamere,1,6.0,15.0,25.0,2.066666666666667,100.0,765.4215456674474,2.3536299765807964,578.9578454332553,28.466666666666665,1.3220678356895819
Vladimir,1,5.0,11.0,16.0,1.9090909090909092,100.0,624.9832775919732,1.7558528428093645,618.6120401337793,19.933333333333334,1.01029924580326
Wukong,1,4.0,8.0,9.0,1.625,100.0,345.06807866868377,0.5900151285930408,544.1301059001512,22.033333333333335,0.6341646509300192
Mordekaiser,1,2.0,8.0,9.0,1.375,0.0,682.2327790973872,2.5653206650831355,533.9192399049881,21.05,1.2777827208826409
Pantheon,1,1.0,13.0,16.0,1.3076923076923077,100.0,429.0191526407429,0.8705745792222868,483.3778293673825,28.716666666666665,0.8875441250630358
Poppy,1,1.0,8.0,9.0,1.25,0.0,407.99058084772366,0.9890109890109889,469.6860282574568,21.233333333333334,0.8686453424245463
Quinn,1,3.0,13.0,13.0,1.2307692307692308,0.0,612.72921108742,1.535181236673774,643.0490405117271,15.633333333333333,0.9528498955535661
Lucian,1,0.0,10.0,10.0,1.0,0.0,408.5689655172414,2.741379310344828,545.4827586206897,19.333333333333332,0.749004361843353
Garen,1,3.0,9.0,5.0,0.8888888888888888,0.0,358.716577540107,3.1627196333078684,584.7822765469824,21.816666666666666,0.6134190311961123
