champion,games,kills per game,deaths per game,assists per game,kda,win %,dmg/min,cs/min,gold/min,avg game time,dmg/gold
Lucian,4,18.0,9.0,19.25,4.138888888888889,25.0,2265.438227993126,5.671185793393164,784.2390681687989,21.820833333333333,2.8887087113409593
LeBlanc,4,14.5,10.5,26.0,3.857142857142857,100.0,1395.9511698880974,1.7497456765005084,666.8158697863682,24.575000000000003,2.09345822908403
Tryndamere,4,17.25,10.25,17.25,3.3658536585365852,50.0,1779.4947994056463,3.4769687964338782,795.4489492676714,19.629166666666666,2.2370949148200334
Nunu & Willump,4,6.25,11.0,30.5,3.340909090909091,75.0,1209.5286885245903,2.2008196721311477,627.8114754098361,20.333333333333332,1.9265794524303788
Gangplank,4,15.0,11.5,23.25,3.3260869565217392,50.0,1337.830624465355,3.479897348160821,727.5551753635585,24.354166666666668,1.8388029798521361
Lee Sin,4,8.5,8.0,17.75,3.28125,75.0,1251.3905522288758,1.1709913506320693,665.9880239520959,18.787499999999998,1.8789985813902377
Varus,3,11.333333333333334,8.333333333333334,25.0,4.36,100.0,1491.6173001310615,2.7837483617300127,681.7195281782436,21.194444444444446,2.1880219628108706
Kha'Zix,3,12.333333333333334,7.333333333333333,16.333333333333332,3.909090909090909,66.66666666666667,1424.0955432566268,1.887561899213516,693.6615205359743,19.072222222222223,2.053012169618786
Blitzcrank,3,3.6666666666666665,7.333333333333333,20.666666666666668,3.3181818181818183,33.333333333333336,724.298669891173,1.0882708585247884,590.2962515114873,18.377777777777776,1.2270087571055461
Caitlyn,3,10.666666666666666,8.666666666666666,14.333333333333334,2.8846153846153846,33.333333333333336,1281.9066590779737,2.9538986909504836,690.0682982356288,19.522222222222222,1.857651861932451
Ryze,3,6.0,10.666666666666666,18.0,2.25,0.0,919.1681109185441,3.847487001733102,647.7296360485268,19.233333333333334,1.4190613795686842
Orianna,2,10.0,6.5,28.5,5.923076923076923,0.0,1629.3764434180139,3.8799076212471135,678.1986143187067,21.65,2.402506299802493
Zilean,2,6.5,6.5,24.5,4.769230769230769,50.0,1450.6180524677634,2.5878168074699865,660.1067140951534,18.741666666666667,2.197550822454836
Jarvan IV,2,7.0,9.5,32.5,4.157894736842105,100.0,1009.429213483146,2.076404494382022,684.6741573033707,18.541666666666668,1.47432059866089
Draven,2,10.5,7.5,19.0,3.933333333333333,50.0,1353.6547567800258,3.4610417563495477,755.101162290142,19.358333333333334,1.792680006841115
Vel'Koz,2,13.0,10.5,27.5,3.857142857142857,0.0,1757.8972119583473,2.3177695666778635,703.6546859254282,24.808333333333334,2.4982384785037093
Janna,2,7.0,8.5,25.0,3.764705882352941,50.0,681.2755102040816,1.967930029154519,630.7871720116618,22.866666666666667,1.0800402107598448
Katarina,2,11.0,6.5,13.0,3.6923076923076925,50.0,1081.516544117647,2.536764705882353,685.4779411764706,18.133333333333333,1.5777554304102976
